epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2702.16,1.17275,0.74138,0.8758,0.50943,0.38704,0.39921,0.23874,1.22382,0.86262,0.88682,0.003169,0.003169,0.003169
71,2741.94,1.17395,0.74168,0.87471,0.51387,0.38736,0.40105,0.2398,1.21851,0.85888,0.88582,0.00307,0.00307,0.00307
72,2781.98,1.17544,0.74214,0.87478,0.51837,0.38739,0.402,0.23932,1.22165,0.86243,0.88663,0.002971,0.002971,0.002971
73,2822.13,1.17382,0.73779,0.87488,0.50771,0.39114,0.40123,0.23868,1.22186,0.85947,0.88666,0.002872,0.002872,0.002872
74,2860.54,1.17808,0.74108,0.87351,0.50613,0.3936,0.40227,0.23896,1.22255,0.85708,0.8866,0.002773,0.002773,0.002773
75,2899.57,1.1567,0.72651,0.87238,0.50888,0.39416,0.40347,0.24022,1.22186,0.8591,0.88653,0.002674,0.002674,0.002674
76,2938.31,1.15946,0.72464,0.8736,0.50726,0.39477,0.40201,0.23954,1.22173,0.85901,0.88691,0.002575,0.002575,0.002575
77,2977.48,1.16174,0.72688,0.87124,0.52456,0.38585,0.40265,0.23982,1.22368,0.85996,0.88655,0.002476,0.002476,0.002476
78,3016.87,1.16018,0.72443,0.87115,0.52074,0.38983,0.40393,0.24006,1.22338,0.86005,0.88703,0.002377,0.002377,0.002377
79,3054.25,1.15114,0.71771,0.8713,0.51004,0.39265,0.40361,0.23953,1.22185,0.85803,0.88689,0.002278,0.002278,0.002278
80,3091.33,1.15393,0.71954,0.8705,0.52473,0.38698,0.40491,0.24145,1.22108,0.85622,0.88673,0.002179,0.002179,0.002179
81,3131.37,1.15222,0.71269,0.87114,0.53187,0.38598,0.40515,0.24135,1.2238,0.86229,0.88717,0.00208,0.00208,0.00208
82,3169.74,1.1537,0.71162,0.87005,0.52491,0.38538,0.40248,0.24017,1.2212,0.86118,0.88691,0.001981,0.001981,0.001981
83,3206.97,1.14506,0.70817,0.86869,0.52457,0.39113,0.40503,0.2417,1.22252,0.85989,0.88767,0.001882,0.001882,0.001882
84,3245.7,1.14395,0.70713,0.86887,0.52109,0.38818,0.40202,0.24004,1.22008,0.86256,0.88689,0.001783,0.001783,0.001783
85,3283.56,1.14307,0.70378,0.86815,0.5196,0.39333,0.40363,0.24138,1.22064,0.86061,0.88688,0.001684,0.001684,0.001684
